,id,crew_job,crew_name
93,9208,Director,John Woo
94,40154,Director,Kenneth Branagh
95,406,Director,Mathieu Kassovitz
96,45549,Director,Paul W.S. Anderson
97,63076,Director,Nick Broomfield
98,11062,Director,Harold Becker
99,13685,Director,Wes Anderson
100,47475,Director,Nick Castle
101,2045,Director,John Dahl
102,9614,Director,Dennis Dugan
103,688,Director,Clint Eastwood
104,11907,Director,Doris Dörrie
105,10874,Director,Brian Henson
106,89333,Director,Robert Leacock
107,96357,Director,James Bruce
108,197,Director,Mel Gibson
109,103,Director,Martin Scorsese
110,33542,Director,Stanley Tong
111,43566,Director,Barbet Schroeder
112,71754,Director,Mort Ransen
113,43612,Director,Étienne Chatiliez
114,51352,Director,Jon Blair
115,16934,Director,Benjamin Ross
116,10324,Director,Eric Schaeffer
117,78406,Director,Andrew Davis
118,55731,Director,Charles T. Kanganis
119,32119,Director,John N. Smith
120,11066,Director,Reginald Hudlin
121,11104,Director,Wong Kar-wai
122,37975,Director,Giuseppe Tornatore
123,2074,Director,David O. Russell
124,27793,Director,Peter MacDonald
125,44284,Director,Moufida Tlatli
126,290157,Director,Michel Negroponte
127,110972,Director,Bryan Gordon
128,32622,Director,Rebecca Miller
129,73067,Director,Michael Lindsay-Hogg
130,11863,Director,William Friedkin
131,55475,Director,Ángel Muñiz
132,124636,Director,Craig Baldwin
133,9101,Director,David S. Ward
134,123360,Director,Mark Rappaport
135,5757,Director,Dirk Shafer
136,39428,Director,Terence Davies
137,124639,Director,Sandip Ray
138,9302,Director,Jon Avnet
139,11000,Director,Mike Nichols
140,249882,Director,Jakov Sedlar
141,16388,Director,Edward Burns
142,9737,Director,Michael Bay
143,30765,Director,Christopher Cain
144,10474,Director,Scott Kalvert
145,22279,Director,Mike Newell
146,30157,Director,Hal Hartley
147,568,Director,Ron Howard
148,11780,Director,Michael Caton-Jones
149,34996,Director,Abel Ferrara
150,414,Director,Joel Schumacher
151,649,Director,Luis Buñuel
152,1873,Director,John Boorman
153,5894,Director,Paul Auster
153,5894,Director,Wayne Wang
154,1775,Director,Michael Moore
155,8839,Director,Brad Silberling
156,20649,Director,Spike Lee
157,10329,Director,Frank Marshall
158,8963,Director,Tony Scott
159,26564,Director,Terry Zwigoff
160,8068,Director,Robert Rodriguez
161,8512,Director,Carl Franklin
162,1572,Director,John McTiernan
163,13552,Director,Gregg Araki
164,259209,Director,Christopher Menaul
165,6520,Director,Jerry Zucker
166,9073,Director,Dwight H. Little
167,10428,Director,Iain Softley
168,17447,Director,Christopher Ashley
169,9886,Director,Robert Longo
170,9482,Director,Danny Cannon
171,19326,Director,John Fortenberry
172,9344,Director,Larry Clark
173,9071,Director,Tom DiCillo
174,8973,Director,Clive Barker
175,15730,Director,Denys Arcand
176,47608,Director,Antonia Bird
177,2293,Director,Kevin Smith
178,9070,Director,Bryan Spicer
179,68274,Director,David Anspaugh
180,48787,Director,Anthony Waller
181,34574,Director,Michael Almereyda
182,1642,Director,Irwin Winkler
183,11472,Director,Chris Columbus
184,36196,Director,Daisy von Scherler Mayer
185,11980,Director,Gregory Widen
186,58372,Director,Norman René
187,32646,Director,Todd Haynes
188,10533,Director,Roland Joffé
190,10802,Director,Paul Verhoeven
191,10149,Director,Wayne Wang
191,10149,Director,Paul Auster
192,18402,Director,Lasse Hallström
193,9348,Director,Roger Donaldson
194,139408,Director,James Keach
195,281,Director,Kathryn Bigelow
196,5967,Director,Jacques Demy
197,79593,Director,Wesley Strick
198,47939,Director,Martha Coolidge
199,36834,Director,Agnieszka Holland
200,9090,Director,Beeban Kidron
201,3512,Director,Geoff Murphy
202,52856,Director,Diane Keaton
203,77350,Director,Douglas Keeve
204,9560,Director,Alfonso Aráu
205,9804,Director,Kevin Reynolds
206,31611,Director,Desmond Nakano
207,65796,Director,Walter Hill
208,49805,Director,Mike Figgis
209,26258,Director,Greg Beeman
210,50797,Director,Nikita Mikhalkov
211,19155,Director,Milčo Mančevski
212,76,Director,Richard Linklater
213,11017,Director,Tamra Davis
214,37141,Director,Guy Ferland
215,9382,Director,Herbert Ross
216,6715,Director,Peter Horton
217,18256,Director,Stuart Gordon
218,22625,Director,Pat O'Connor
219,2292,Director,Kevin Smith
220,1909,Director,Jeremy Leven
221,8984,Director,Barry Levinson
222,61813,Director,René Bonnière
223,4954,Director,John Badham
224,62488,Director,Jack Baran
225,10531,Director,Roman Polanski
226,11929,Director,Taylor Hackford
227,8467,Director,Peter Farrelly
227,8467,Director,Bobby Farrelly
228,10451,Director,Ang Lee
229,20156,Director,Atom Egoyan
230,18395,Director,Garry Marshall
231,522,Director,Tim Burton
232,397,Director,Lawrence Kasdan
233,10525,Director,Billy Crystal
234,27985,Director,Phillip Borsos
235,15789,Director,Kevin Lima
235,15789,Director,Paul Brizzi
236,27303,Director,Brett Leonard
237,21183,Director,Carlo Carlei
238,10954,Director,Gérard Corbiau
239,47867,Director,Mark Lewis
240,43475,Director,Art Clokey
241,72031,Director,Charles Burnett
242,14275,Director,Steve James
243,1024,Director,Peter Jackson
244,17207,Director,Randall Miller
245,13701,Director,Bernard Rose
246,14819,Director,Steven Brill
247,32631,Director,J. F. Lawton
248,11777,Director,Fred Schepisi
249,628,Director,Neil Jordan
250,87729,Director,James Ivory
251,18713,Director,James Melkonian
252,6280,Director,Ivan Reitman
253,9061,Director,Arne Glimcher
254,37108,Director,Michael Gottlieb
255,6071,Director,Barbet Schroeder
256,11,Director,George Lucas
257,9587,Director,Gillian Armstrong
258,19101,Director,Alfonso Cuarón
259,49980,Director,Ken Loach
260,17961,Director,Claude Chabrol
261,18183,Director,Alfonso Aráu
262,4476,Director,Edward Zwick
263,11008,Director,Nick Castle
264,47504,Director,James Gray
265,32325,Director,Allison Anders
266,43742,Director,Glenn Gordon Caron
267,28313,Director,Stephen Gyllenhaal
268,11318,Director,Nicholas Hytner
269,3036,Director,Kenneth Branagh
270,40490,Director,James Orr
271,24070,Director,Nora Ephron
272,8986,Director,Richard Benjamin
273,10510,Director,Les Mayfield
274,17402,Director,David Frankel
275,38722,Director,Gregory Nava
276,8438,Director,Marc Rocco
277,11593,Director,Robert Benton
278,1945,Director,Michael Apted
279,39310,Director,Nick Gomez
280,109560,Director,Tōru Murakawa
281,56428,Director,Vadim Jean
282,63105,Director,Albert Pyun
283,131957,Director,Alan Jacobs
284,241,Director,Oliver Stone
285,9058,Director,Norman Jewison
286,527,Director,Lee Tamahori
287,18220,Director,Anne Goursaud
288,6950,Director,Wolfgang Petersen
289,101,Director,Luc Besson
290,63020,Director,Mira Nair
291,2307,Director,Joshua Brand
292,680,Director,Quentin Tarantino
293,41478,Director,Mario Van Peebles
294,25296,Director,Ang Lee
295,40156,Director,Antonia Bird
296,11450,Director,Robert Redford
297,30304,Director,Kayo Hatta
298,10452,Director,Patrice Chéreau
299,12106,Director,Sam Raimi
300,161495,Director,Peter Yates
301,3586,Director,Robert Altman
302,110,Director,Krzysztof Kieślowski
303,108,Director,Krzysztof Kieślowski
304,109,Director,Krzysztof Kieślowski
305,159185,Director,He Ping
306,36357,Director,Fred Gerber
307,92769,Director,George Mihalka
308,28033,Director,Harold Ramis
309,22586,Director,Richard Rich
310,14334,Director,John Sayles
311,2636,Director,Luis Llosa
312,2164,Director,Roland Emmerich
313,11395,Director,John Pasquin
314,278,Director,Frank Darabont
315,9905,Director,Danny Boyle
316,87078,Director,Scott McGehee
316,87078,Director,David Siegel
317,12527,Director,Tomás Gutiérrez Alea
317,12527,Director,Juan Carlos Tabío
318,20306,Director,George Huang
319,36614,Director,Kevin Dowling
319,36614,Director,Geoff Burton
320,27993,Director,Kelly Makin
321,31439,Director,Zhang Yimou
322,9067,Director,Rachel Talalay
323,9059,Director,Ernest R. Dickerson
324,193,Director,David Carson
325,25066,Director,Rusty Cundieff
326,46797,Director,Brian Gilbert
327,12122,Director,John Carpenter
328,11381,Director,Peter Segal
329,32636,Director,Louis Malle
330,36141,Director,Steven Soderbergh
331,95963,Director,Preston A. Whitmore II
332,1587,Director,Lasse Hallström
333,9271,Director,Brett Leonard
334,2064,Director,Jon Turteltaub
335,19855,Director,Jon Avnet
336,60855,Director,Mina Shum
337,236,Director,P.J. Hogan
338,48287,Director,Melanie Mayron
339,3049,Director,Tom Shadyac
340,2759,Director,Stephan Elliott
341,12635,Director,Iain Softley
342,10497,Director,Roman Polanski
343,11382,Director,Woody Allen
344,9331,Director,Phillip Noyce
345,10731,Director,Joel Schumacher
346,10464,Director,Jessie Nelson
347,34152,Director,Spike Lee
348,9495,Director,Alex Proyas
349,29973,Director,Ron Shelton
350,888,Director,Brian Levant
351,13,Director,Robert Zemeckis
352,712,Director,Mike Newell
353,16295,Director,John Singleton
354,48992,Director,Darnell Martin
355,10879,Director,Charles Shyer
356,10660,Director,Andrew Bergman
357,10714,Director,Stephen Sommers
358,41647,Director,Ray Müller
359,8587,Director,Roger Allers
359,8587,Director,Rob Minkoff
360,1689,Director,Bernardo Bertolucci
361,11596,Director,Wes Craven
362,854,Director,Chuck Russell
363,9359,Director,Richard Donner
364,23333,Director,Alan Rudolph
365,36593,Director,Peter Segal
366,12280,Director,Ron Howard
367,2788,Director,Ben Stiller
368,10427,Director,John Dahl
369,11011,Director,Donald Petrie
370,49803,Director,Robert Allan Ackerman
371,8987,Director,Curtis Hanson
372,1637,Director,Jan de Bont
373,15128,Director,Ron Underwood
374,8831,Director,Peter Hyams
375,36955,Director,James Cameron
376,10449,Director,Luis Mandoki
377,10395,Director,Mike Nichols
378,12160,Director,Lawrence Kasdan
379,40480,Director,Damian Harris
380,52038,Director,Suri Krishnamma
381,29444,Director,Jefery Levy
382,26352,Director,Keenen Ivory Wayans
383,39953,Director,Robert Lee King
383,39953,Director,Brian Sloan
383,39953,Director,Raoul O'Connell
384,41580,Director,Yves Angelo
385,315,Director,Russ Meyer
386,22067,Director,Doug McHenry
387,18242,Director,Dave Borthwick
388,11667,Director,Steven E. de Souza
389,32502,Director,Wallace Wolodarsky
390,267188,Director,Michael A. Nickles
391,28732,Director,Paul Warner
392,75555,Director,Vincent Robert
393,42981,Director,Theodore Thomas
394,278939,Director,Lucas Platt
395,291731,Director,Ross Kagan Marks
396,226229,Director,Paul Williams
397,203119,Director,Robert Wuhl
398,172923,Director,Roberto Sneider
399,316098,Director,Jack Baxter
399,316098,Director,Jefri Aalmuhammed
400,8011,Director,Andrew Morahan
401,171857,Director,Michael Corrente
402,2654,Director,John Carpenter
403,18069,Director,John G. Avildsen
404,19092,Director,Jeff Pollack
405,2758,Director,Barry Sonnenfeld
406,38129,Director,Thomas Schlamme
407,10436,Director,Martin Scorsese
408,13595,Director,Michael Lehmann
409,46094,Director,Paul Michael Glaser
410,9409,Director,John Badham
411,11853,Director,Jonathan Kaplan
412,16771,Director,Whit Stillman
413,46924,Director,Bill Forsyth
414,11041,Director,Penelope Spheeris
415,306,Director,John Landis
416,14522,Director,Caroline Thompson
417,26203,Director,Michael Apted
418,178,Director,Stephen Hopkins
419,19819,Director,William Friedkin
420,57834,Director,Tony Richardson
421,4722,Director,Abel Ferrara
422,18215,Director,Jennifer Chambers Lynch
423,1607,Director,Robert De Niro
424,26391,Director,Adam Resnick
425,117553,Director,John Whitesell
426,6075,Director,Brian De Palma
427,11310,Director,Paul Weiland
428,18658,Director,Mick Jackson
429,9350,Director,Renny Harlin
430,9612,Director,Steve Barron
431,2124,Director,Richard Rush
432,26261,Director,Michael Ritchie
433,19176,Director,Gregg Champion
434,49299,Director,Abel Ferrara
435,11566,Director,Ivan Reitman
436,9571,Director,Richard Linklater
437,9739,Director,Marco Brambilla
438,24257,Director,Bruce Brown
439,34444,Director,Gus Van Sant
440,26141,Director,Carl Reiner
441,10997,Director,Chen Kaige
442,50463,Director,Donald Petrie
443,10443,Director,Peter Weir
444,20239,Director,Rusty Cundieff
445,16297,Director,Alek Keshishian
446,18551,Director,Steve Kloves
447,25440,Director,John Irvin
448,9024,Director,Barry Sonnenfeld
449,37233,Director,Sydney Pollack
450,1634,Director,Simon Wincer
451,13815,Director,Boaz Yakin
452,5503,Director,Andrew Davis
453,35588,Director,Walter Hill
454,2087,Director,Roger Donaldson
455,41579,Director,Howard Deutch
456,18620,Director,Rose Troche
457,41006,Director,Bruce Beresford
458,4916,Director,Sidney Lumet
459,2019,Director,John Woo
460,31642,Director,Oliver Stone
461,9255,Director,Jim Abrahams
462,26271,Director,Julianna Lavin
463,10612,Director,Christopher Monger
464,2259,Director,Bille August
465,16097,Director,Eric Meza
466,11934,Director,Joel Coen
467,106143,Director,James L. Brooks
468,12475,Director,"Daniel Petrie, Jr."
469,9386,Director,Wolfgang Petersen
470,7984,Director,Jim Sheridan
471,59930,Director,Matty Rich
472,15765,Director,Brian Gibson
473,31643,Director,Barry Levinson
474,6,Director,Stephen Hopkins
475,329,Director,Steven Spielberg
476,10909,Director,Dominic Sena
477,507,Director,Roger Avary
478,34024,Director,Steven Soderbergh
479,29918,Director,Daniel Petrie
480,9593,Director,John McTiernan
481,42580,Director,James Lapine
482,22317,Director,Simon Wincer
482,22317,Director,Paul Hogan
482,22317,Director,Greg Coote
483,1413,Director,David Cronenberg
484,12121,Director,Richard Benjamin
485,2246,Director,Harold Becker
486,10502,Director,Mel Gibson
487,10440,Director,Woody Allen
488,9516,Director,Albert Hughes
488,9516,Director,Allen Hughes
489,2320,Director,Stuart Baird
490,5879,Director,Nagisa Ōshima
491,83718,Director,Tom Noonan
492,11971,Director,Kenneth Branagh
493,2625,Director,Mike Figgis
494,31911,Director,Anthony Minghella
495,788,Director,Chris Columbus
496,21450,Director,Mike Leigh
497,11231,Director,Christopher Cain
498,41588,Director,Michael Tolkin
499,10447,Director,Martin Campbell
500,31586,Director,Rob Reiner
501,9300,Director,Sally Potter
502,9559,Director,Clint Eastwood
503,9800,Director,Jonathan Demme
504,713,Director,Jane Campion
505,8291,Director,John Singleton
506,18133,Director,David S. Ward
507,25557,Director,Stuart Orme
508,22588,Director,Mel Smith
509,10872,Director,Ted Demme
510,1245,Director,James Ivory
511,11858,Director,Penny Marshall
512,7007,Director,Philip Kaufman
513,10467,Director,Alan Parker
514,5550,Director,Fred Dekker
515,8005,Director,Mel Brooks
516,2088,Director,Peter Medak
517,10412,Director,Geoffrey Wright
518,47889,Director,Victor Nunez
519,14534,Director,David Anspaugh
520,56583,Director,Tim Hunter
521,41878,Director,Cyril Collard
522,424,Director,Steven Spielberg
523,35233,Director,Michael Ritchie
524,14291,Director,Steven Zaillian
525,103413,Director,Chris Menges
526,11236,Director,Agnieszka Holland
527,11592,Director,John Waters
528,8850,Director,Russell Mulcahy
529,10445,Director,Richard Attenborough
530,695,Director,Robert Altman
531,43535,Director,Gillies MacKinnon
532,12519,Director,John Duigan
533,23210,Director,Fred Schepisi
534,858,Director,Nora Ephron
535,867,Director,Phillip Noyce
536,78,Director,Ridley Scott
537,13203,Director,Steve Rash
538,10442,Director,Thomas Schlamme
539,11074,Director,Rowdy Herrington
540,33367,Director,Arthur Joffé
541,9607,Director,Annabel Jankel
541,9607,Director,Rocky Morton
542,17585,Director,Ernest R. Dickerson
543,9057,Director,Deran Sarafian
544,20967,Director,François Girard
545,10635,Director,Andrew Fleming
546,9479,Director,Henry Selick
547,10057,Director,Stephen Herek
548,11969,Director,George P. Cosmatos
549,41590,Director,Heywood Gould
550,319,Director,Tony Scott
551,26408,Director,D.A. Pennebaker
551,26408,Director,Chris Hegedus
552,15139,Director,Joe Johnston
552,15139,Director,Pixote Hunt
552,15139,Director,Maurice Hunt
553,161158,Director,Jerry Ciccoritti
554,218473,Director,Jennifer Warren
555,85247,Director,Mark Malone
556,11446,Director,Todd Solondz
557,51980,Director,Claude Berri
558,24405,Director,Dennis Hopper
559,11655,Director,Guillermo del Toro
560,11800,Director,Daniel Algrant
561,8223,Director,Pedro Almodóvar
562,14587,Director,Gurinder Chadha
563,31504,Director,Andrew Scheinman
564,41653,Director,Åke Sandgren
565,53185,Director,Richard Loncraine
566,95743,Director,Eva Sereny
567,23637,Director,Lina Wertmüller
568,17600,Director,David O. Russell
569,10897,Director,Penelope Spheeris
570,349394,Director,Rémy Duchemin
571,21352,Director,George T. Miller
572,68806,Director,Ricky Tognazzi
573,37345,Director,Michael Austin
574,32562,Director,Rob Epstein
574,32562,Director,Jeffrey Friedman
575,47507,Director,Mathieu Kassovitz
576,25403,Director,Nanni Moretti
577,124304,Director,María Luisa Bemberg
578,9066,Director,Betty Thomas
579,771,Director,Chris Columbus
580,251,Director,Jerry Zucker
581,812,Director,Ron Clements
581,812,Director,John Musker
582,280,Director,James Cameron
583,581,Director,Kevin Costner
584,80350,Director,Steve Cohen
585,268,Director,Tim Burton
586,274,Director,Jonathan Demme
587,408,Director,David Hand
588,10020,Director,Gary Trousdale
588,10020,Director,Kirk Wise
589,10895,Director,Hamilton Luske
589,10895,Director,Ben Sharpsteen
590,114,Director,Garry Marshall
591,41043,Director,Yuri Mamin
592,576,Director,Sam Peckinpah
593,15477,Director,C.M. Talkington
594,59146,Director,Huang Jianxin
595,124472,Director,Jean Bach
596,30528,Director,Sam Weisman
597,7300,Director,Michael Hoffman
598,10824,Director,Bill Condon
599,261246,Director,Stephen Poliakoff
600,275,Director,Joel Coen
601,25059,Director,David R. Ellis
602,11827,Director,Gerald Potterton
603,8766,Director,Kevin Yagher
603,8766,Director,Joe Chappelle
604,23570,Director,Matt Reeves
605,47333,Director,Franco Zeffirelli
606,54850,Director,Anna Campion
607,51242,Director,Franco Brusati
608,10112,Director,Wolfgang Reitherman
609,4307,Director,Pedro Almodóvar
610,46029,Director,Fernando Trueba
611,32308,Director,Bill Couturié
612,88893,Director,Werner Herzog
613,52873,Director,André Téchiné
615,340210,Director,Mika Kaurismäki
616,44281,Director,Férid Boughedir
617,28121,Director,Martin Lawrence
618,12520,Director,Stacy Title
619,1592,Director,Gregory Hoblit
620,166901,Director,Clément Virgo
621,36447,Director,Bruno Barreto
622,19042,Director,Paul Sabella
622,19042,Director,Larry Leker
623,38884,Director,Ken Loach
624,47449,Director,Hal Salwen
625,36259,Director,Jonathan R. Betuel
626,41852,Director,Richard Pearce
627,40926,Director,Todd Verow
628,9099,Director,Jonathan Lynn
629,2021,Director,Tim Sullivan
630,61752,Director,Spike Lee
631,10988,Director,Jeremiah S. Chechik
632,11479,Director,Hervé Palud
633,398959,Director,Martin Enlen
634,287305,Director,Carlo Rola
636,12652,Director,Claude Sautet
637,10684,Director,Edward Zwick
638,954,Director,Brian De Palma
639,68445,Director,Friðrik Þór Friðriksson
640,18989,Director,Pen Densham
641,10801,Director,Sönke Wortmann
642,54285,Director,Park Chul-soo
643,8840,Director,Rob Cohen
644,278978,Director,Joseph Vilsmaier
645,124625,Director,Michael Verhoeven
646,11107,Director,Steve Rash
647,16417,Director,Gray Hofmeyr
648,70934,Director,Richard Wherrett
649,10363,Director,René Clément
650,161070,Director,Anthony Hopkins
651,10539,Director,Henry Selick
652,10543,Director,James Foley
653,18414,Director,Kelly Makin
654,47502,Director,Paul Mazursky
655,11902,Director,Emir Kusturica
656,27098,Director,Bo Widerberg
657,25087,Director,Alan Mehrez
658,5801,Director,Satyajit Ray
659,896,Director,Satyajit Ray
660,3065,Director,Jim Mallon
662,2300,Director,Joe Pytka
663,8069,Director,Roger Vadim
664,288173,Director,Catherine Cyran
665,187851,Director,Brett Piper
666,27768,Director,George Hickenlooper
667,221917,Director,Peter Yates
668,8072,Director,Jean-Luc Godard
669,35797,Director,Bertrand Tavernier
670,88030,Director,Mika Kaurismäki
671,185191,Director,Claude Chabrol
672,83857,Director,Gordon Willis
673,33245,Director,Randal Kleiser
674,124460,Director,Michael Blakemore
675,27281,Director,Simon Wincer
676,105045,Director,Margarethe von Trotta
677,40001,Director,Richard Benjamin
678,29621,Director,Norberto Barba
679,117730,Director,Eli Cohen
680,20762,Director,Robert Mandel
681,37144,Director,Pat Verducci
682,48260,Director,Michael Winterbottom
683,12656,Director,Steven Baigelman
684,38867,Director,Zalman King
685,277270,Director,Barry Caillier
686,25969,Director,Patrick Read Johnson
687,44103,Director,Stijn Coninx
688,753,Director,John Cassavetes
689,43634,Director,Stacy Cochran
690,9103,Director,Jean-Claude Van Damme
691,90214,Director,Mark Joffe
692,29649,Director,Steve Gomer
693,10990,Director,Lee Tamahori
694,8866,Director,Michael Lehmann
695,12233,Director,George Scribner
696,23449,Director,Tom DeCerchio
697,36355,Director,Alan Shapiro
698,37667,Director,Angela Pope
699,90148,Director,Betty Kaplan
700,922,Director,Jim Jarmusch
701,11876,Director,Jean-Paul Rappeneau
702,52633,Director,Jack Hill 
703,62364,Director,Manuel Gómez Pereira
704,11687,Director,Jean-Marie Poiré
705,9304,Director,Harold Ramis
706,73183,Director,Brett Thompson
707,131232,Director,Francesco Sframeli
707,131232,Director,Spiro Scimone
708,9100,Director,Andrew Fleming
709,20759,Director,Reginald Hudlin
710,46063,Director,Bruce Beresford
712,32513,Director,John Schlesinger
713,40651,Director,Stephen Quay
713,40651,Director,Timothy Quay
714,36915,Director,Phil Joanou
715,40507,Director,Larry Cohen
716,9802,Director,Michael Bay
717,25697,Director,Harvey Miller
718,21588,Director,Michele Soavi
719,664,Director,Jan de Bont
720,11867,Director,David Hogan
721,47119,Director,Maurice Pialat
722,314352,Director,Gabriel Barylli
723,9323,Director,Mamoru Oshii
724,10280,Director,Tom Holland
725,10535,Director,Rick Friedberg
726,124613,Director,Udayan Prasad
727,532,Director,Nick Park
728,26744,Director,Abraham Polonsky
729,16299,Director,John Landis
730,10547,Director,David Twohy
731,245268,Director,Robert Z. Leonard
732,935,Director,Stanley Kubrick
733,55613,Director,Guy Maddin
734,215107,Director,John O'Brien
735,41007,Director,John Irvin
736,35645,Director,Kevin James Dobson
737,110465,Director,Victor Saville
738,255546,Director,Helena Solberg
739,40751,Director,Wong Kar-wai
740,275096,Director,Ebrahim Forouzesh
741,85778,Director,Freida Lee Mock
742,11101,Director,Joseph Vilsmaier
743,9826,Director,Simon Wincer
744,9879,Director,Andrew Bergman
745,63564,Director,David Keating
746,22621,Director,James Mangold
747,7095,Director,Francis Ford Coppola
748,26890,Director,Mary Harron
749,46732,Director,Charles Matthau
750,124633,Director,Goran Paskaljević
751,202425,Director,Mwezé Ngangura
751,202425,Director,Benoît Lamy
752,196940,Director,Jean-Pierre Bekolo
753,77771,Director,Djibril Diop Mambéty
754,181083,Director,Gaston Kaboré
755,41225,Director,Federico Fellini
755,41225,Director,Louis Malle
755,41225,Director,Roger Vadim
756,188589,Director,Henry Jaglom
756,188589,Director,Victoria Foyt
757,87190,Director,Robby Henson
758,627,Director,Danny Boyle
759,32872,Director,Scott Winant
760,602,Director,Roland Emmerich
761,14553,Director,Bernardo Bertolucci
762,9566,Director,Tony Scott
763,10545,Director,Gary Trousdale
763,10545,Director,Kirk Wise
764,9894,Director,Ben Stiller
765,11543,Director,Bobby Farrelly
765,11543,Director,Peter Farrelly
766,9268,Director,Chuck Russell
767,52059,Director,Carma Hinton
767,52059,Director,Richard Gordon
768,9327,Director,Tom Shadyac
769,123763,Director,María Luisa Bemberg
770,81949,Director,Lucian Pintilie
771,42005,Director,Gazdag Gyula
772,124306,Director,Gérard Mordillat
773,183955,Director,Mel Chionglo
774,44535,Director,Alexandre Rockwell
775,44495,Director,Christopher Larkin
776,78285,Director,Laurent Heynemann  
777,11228,Director,Rob Cohen
778,10779,Director,Peter Jackson
779,26748,Director,John Sayles
780,38223,Director,Bronwen Hughes
781,9294,Director,Jon Turteltaub
782,49963,Director,Nicole Holofcener
783,11363,Director,Edward Burns
784,1645,Director,Joel Schumacher
785,31546,Director,Michael Corrente
786,77056,Director,Éric Rohmer
787,36344,Director,Fraser Clarke Heston
788,18550,Director,Kevin Hooks
789,11511,Director,Paul Michael Glaser
790,172198,Director,Ildikó Enyedi
791,34170,Director,Howard Franklin
792,281085,Director,Mitch Marcus
793,109478,Director,Jaime Hellman
794,124645,Director,Nicolas Roeg
795,12606,Director,Arlene Sanford
796,69895,Director,Maurizio Nichetti
797,35206,Director,Luis Buñuel
798,151489,Director,Paul Turner
799,4837,Director,Éric Rohmer
800,12632,Director,Peter Sehr
800,12632,Director,Gernot Roll
801,9098,Director,Rolf Silber
802,282919,Director,Peter Weck
803,124614,Director,Manoel de Oliveira
804,18975,Director,Steve Barron
805,11962,Director,John Payson
806,2925,Director,Hugh Wilson
807,28628,Director,Nigel Finch
808,3595,Director,Ron Howard
809,9308,Director,Hart Bochner
810,92381,Director,Doug Ellin
811,18555,Director,Annette Haywood-Carter
812,12123,Director,Andrew Davis
